DictName,name1,name2,name3,name4,name5,name6
Helianthus Annuus (Sunflower) Seed Oil,Sunflower,Helianthus,,,,
Caprylic/Capric Triglyceride,Caprylic,Capric,,,,
Acrylates/C10-30 Alkyl Acrylate Crosspolymer,Acrylates,C10-30,Alkyl Acrylate,Carbamate Copolymer,,
Alkyl Benzoate,C12-15,Alkyl Benzoate,,,,
Hydroxyethyl Acrylate,Hydroxyethyl Acrylate,Sodium Acryloyldimethyl Taurate Copolymer,Sodium Acryloyl Dimethyl Taurate Copolymer,,,
Rosmarinus officinalis (Rosemary) Leaf Extract,Rosemary,Rosmarinus Officinalis,,,,
Glycyrrhiza Glabra (Licorice) Root Extract,Glycyrrhiza Glabra,Licorice,,,,
Simmondsia Chinensis (Jojoba) Seed Oil,Jojoba,Simmondsia Chinensis,,,,
Butyrospermum Parkii (Shea) Butter,Shea,Butyrospermum Parkii,,,,
Persea Gratissima (Avocado) Oil,Avocado,Persea Gratissima,,,,
Dimethicone/Vinyl Dimethicone Crosspolymer,Dimethicone,Cetyl Peg,Ppg-10,PEG-10,15 Crosspolymer,PEG-8
Ammonium Acryloyldimethyltaurate/Vp Copolymer,Vp Copolymer,Ammonium Acryloyldimethyltaurate,,,,
Pyrus Malus (Apple) Fruit Extract,Pyrus Malus,Apple,,,,
Cucumis Sativus (Cucumber) Fruit Extract,Cucumber,Cucumis,,,,
C13-14 Isoparaffin,C13-14,Isoparaffin,,,,
Olea Europaea (Olive) Fruit Oil,Olea Europaea,Olive,,,,
Prunus Armeniaca (Apricot) Kernel Extract,Prunus Armeniaca,Apricot,,,,
Lavandula Angustifolia (Lavender) Flower Extract,Lavandula Angustifolia,Lavender,,,,
Vitis vinifera (Grape) Seed Extract,Vitis Vinifera,Grape,,,,
Neopentyl Glycol Dicaprylate/Dicaprate,Butylene Glycol Dicaprylate,Dicaprate,,,,
Elaeis Guineensis (Palm) Kernel Oil,Palm,Elaeis Guineensis,,,,
Triticum Vulgare (Wheat) Germ Extract,Wheat & Germ Oil,Triticum Vulgare,,,,
Oenothera Biennis (Evening Primrose) Oil,Evening Primrose,Oenothera Biennis,,,,
Leuconostoc/Radish Root Ferment Filtrate,Leuconostoc,Radish Root Ferment,,,,
Citrus Aurantium Dulcis (Orange) Oil,Orange,Citrus Aurantium Dulcis,,,,
Chamomilla Recutita (Matricaria) Flower Oil,Matricaria,Chamomilla Recutita,,,,
Coffea Arabica (Coffee) Seed Extract,Coffee,Coffea Arabica,,,,
Avena Sativa (Oat) Kernel Extract,Oat & Kernel,Avena Sativa,,,,
Curcuma Longa (Turmeric) Root Extract,Turmeric,Curcuma Longa,,,,
Glycine Soja (Soybean) Oil/Sterols,Soybean,Glycine Soja,,,,
Methyl Gluceth-10/Methyl Gluceth-20,Methyl Gluceth,,,,,
Acetyl Hexapeptide-3,Acetyl Hexapeptide,Argireline,,,,
Tocopherol/Vitamin E,Tocopherol,Vitamin E,,,,
Citrus Aurantium Bergamia (Bergamot) Fruit Water/Oil/Extract,Citrus Aurantium Bergamia,Bergamot,,,,
Prunus Amygdalus Dulcis (Sweet Almond) Oil/Extract,Prunus Amygdalus Dulcis,Sweet Almond,,,,
Zingiber Officinale (Ginger) Root Extract,Zingiber Officinale,Ginger,,,,
Salix Alba (Willow) Bark Extract,Salix Alba,Willow,,,,
Fragrance (Parfum),Fragrance,Parfum,,,,
Carthamus Tinctorius (Safflower) Seed Oil,Carthamus Tinctorius,Safflower,,,,
Glycerin,,,,,,
Chrysanthemum Parthenium (Feverfew) Extract,Chrysanthemum Parthenium,Feverfew,,,,
Camellia Sinensis,Camellia Sinensis,Green Tea,,,,
Limnanthes Alba (Meadowfoam) Seed Oil,Meadowfoam,Limnanthes Alb,,,,
Titanium Dioxide (CI 77891),77891,Titanium Dioxide,,,,
Epilobium Angustifolium Flower/Leaf Stem Extract,Epilobium Angustifolium,,,,,
Ribes Nigrum (Black Currant) Seed Oil,Black Currant,Ribes Nigrum,,,,
Citrus Limon (Lemon) Peel Oil,Lemon,Citrus Limon,,,,
PEG-40 Hydrogenated Castor Oil,PEG-40,Hydrogenated Castor Oil,,,,
Citrus Aurantium Amara (Bitter Orange) Peel Extract,Bitter Orange,Citrus Aurantium Amara,,,,
Hordeum Vulgare (Barley) Extract,Barley,Hordeum Vulgare,,,,
Dioscorea Villosa (Wild Yam) Root Extract,Wild Yam,Dioscorea Villosa,,,,
Daucus Carota Sativa (Carrot) Root Extract,Carrot,Daucus Carota Sativa,,,,
Vaccinium Macrocarpon (Cranberry) Seed Oil,Cranberry,Vaccinium Macrocarpon,,,,
Coco-Caprylate/Caprate,Caprate,Coco-Caprylate,,,,
Melaleuca Alternifolia (Tea Tree) Leaf Oil,Tea Tree,Melaleuca Alternifolia,,,,
Linum Usitatissimum (Linseed) Seed Oil,Linseed,Linum Usitatissimum,,,,
Citrus Grandis (Grapefruit) Peel Oil,Grapefruit,Citrus Grandis,,,,
Oryza Sativa (Rice) Extract/Brn Oil,Rice,Oryza Sativa,,,,
Camellia Sinensis (White Tea) Leaf Extract,White Tea,Camellia Sinensis,,,,
Pisum Sativum (Pea) Extract,Pea,Pisum Sativum,,,,
Mangifera Indica (Mango) Seed Butter,Mango,Mangifera Indica,,,,
Rubus Idaeus (Raspberry) Leaf Extract,Raspberry,Rubus Idaeus,,,,
Aesculus Hippocastanum (Horse Chestnut) Seed Extract,Horse Chestnut,Aesculus Hippocastanum,,,,
water,aqua,aqua (water),aqua/water/eau,water,,